Address|City|CompanyName|ContactName|Country|CustomerID|Fax|Phone|PostalCode|StateProvince
|Shanghai|H&M China|Chris Chen|China|128||||
Smagsløget 45|Århus|Modehuset Abel|Dennis Olsen|Denmark|94|86 22 33 44|86 21 32 43|8200|
Gatauppochner. 1|Stockholm|Stephanies|Staffan Blond|Sweden|127|(8) 11 22 33|(8) 10 20 30|111 11|
Obere Str. 57|Berlin|Eintrach GS|Albert von Einstein|Germany|1|030-0076545|030-0074321|12209|
Avda. de la Constitución 2222|México D.F.|La Tienda de la Esquina|Paco el Maco|Mexico|2|(5) 555-3745|(5) 555-4729|05021|
C/ Ritual de lo Habitual  2312|México D.F.|La Ropa Vieja|Sancho Panza|Mexico|3||(5) 555-3932|05023|
120 Hanover Sq.|London|Dr Jims Trousers|Carl Montgomery|UK|4|(171) 555-6750|(171) 555-7788|WA1 1DP|
Berguvsvägen  8|Luleå|Urras Shop|Urra Gurra Aktersnurra|Sweden|5|0921-12 34 67|0921-12 34 65|S-958 22|
Forsterstr. 57|Mannheim|Man Kleider|Herman Hinschler|Germany|6|0621-08924|0621-08460|68306|
24, place Kléber|Strasbourg|Menàge à Trois|Julie Binoché|France|7|88.60.15.32|88.60.15.31|67000|
C/ de Don Quijote, 67|Madrid|Las Corbatas|Julio Iglesias|Spain|8|(91) 555 91 99|(91) 555 22 82|28023|
12, rue des Bouchers|Marseille|La Legion Mercenaire|Bernard de Gaule|France|9|91.24.45.41|91.24.45.40|13008|
23 Tsawassen Blvd.|Tsawassen|Big Foot Shoes|James Hendersson|Canada|10|(604) 555-3745|(604) 555-4729|T2F 8M4|BC
Fauntleroy Circus|London|Shoe Expert|David Foot|UK|11||(171) 555-1212|EC2 5NT|
Plaza de Mayo 6|Buenos Aires|Los Pantalones Magicos|Victoria Abril|Argentina|12|(1) 135-4892|(1) 135-5555|1010|
El Barrio Chino 12|México D.F.|Los Sombreros Gigantes|Speedy Gonzales|Mexico|13|(5) 555-7293|(5) 555-3392|05021|
Hauptstr. 29|Bern|Das Alpen Shoe|Alfred Neumann|Switzerland|14||0452-076545|3012|
Av. dos Lusíadas, 23|São Paulo|Tendha do Flamengo|Edson Arantes do Nascimento|Brazil|15||(11) 555-7647|05432-043|
"Berkeley Gardens
12  Brewery"|London|The sharped dressed man|Ian Wright|UK|16|(171) 555-9199|(171) 555-2282|WX1 6LT|
Walserweg 21|Aachen|Gluderstedt|Lars von Holstein|Germany|17|0241-059428|0241-039123|52066|
67, rue des Cinquante Otages|Nantes|Aujourd´hui|Pierre Chardin|France|18|40.67.89.89|40.67.88.88|44000|
35 King George|London|Th Fashing|Greg Thatcher|UK|19|(171) 555-3373|(171) 555-0297|WX1 6LT|
Kirchgasse 6|Graz|Ski Store|Lars Saalbach|Austria|20|7675-3426|7675-3425|8010|
Rua Orós, 92|São Paulo|Cloe do Pau|Romario do Sauza|Brazil|21||(11) 555-9857|05442-030|
